what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149874017
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149874017
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149875089
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149875089
error,log,,,"Internal Error",1305149876774
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149877242
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149877243
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149878337
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149878338
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149879926
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149879926
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149881177
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149881177
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149882381
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149882381
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305149883617
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305149883617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305149910222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305149912081
executed,command,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.openTask",1305149912091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305149921136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305149978160
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1305149978169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305149988555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150010055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150019076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150021332
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1305150021336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150028571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150034561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150037116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150065243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1305150070630
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1305150072211
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.collapseAll",1305150073473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150095139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150167722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150171338
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1305150216310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150306628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1305150306650
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305150321036
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305150321086
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305150324278
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305150330741
